x,y
5.7320319546e-02,5.7320319116e-02
5.6498236760e-02,5.6498236489e-02
5.5675599147e-02,5.5675598793e-02
5.4852413487e-02,5.4852413479e-02
5.4028686571e-02,5.4028686136e-02
5.3204425197e-02,5.3204425145e-02
5.2379636172e-02,5.2379636094e-02
5.1554326308e-02,5.1554325968e-02
5.0728502428e-02,5.0728502218e-02
4.9902171359e-02,4.9902170897e-02
4.9075339940e-02,4.9075339921e-02
4.8248015013e-02,4.8248014878e-02
4.7420203431e-02,4.7420203220e-02
4.6591912053e-02,4.6591911931e-02
4.5763147745e-02,4.5763147529e-02
4.4933917381e-02,4.4933917001e-02
4.4104227842e-02,4.4104227796e-02
4.3274086016e-02,4.3274085969e-02
4.2443498799e-02,4.2443498503e-02
4.1612473094e-02,4.1612472851e-02
4.0781015810e-02,4.0781015530e-02
3.9949133864e-02,3.9949133527e-02
3.9116834179e-02,3.9116833825e-02
3.8284123686e-02,3.8284123410e-02
3.7451009323e-02,3.7451009266e-02
3.6617498032e-02,3.6617497914e-02
3.5783596766e-02,3.5783596337e-02
3.4949312482e-02,3.4949312452e-02
3.4114652143e-02,3.4114651848e-02
3.3279622721e-02,3.3279622439e-02
3.2444231193e-02,3.2444230746e-02
3.1608484542e-02,3.1608484220e-02
3.0772389758e-02,3.0772389378e-02
2.9935953838e-02,2.9935953673e-02
2.9099183785e-02,2.9099183623e-02
2.8262086607e-02,2.8262086213e-02
2.7424669319e-02,2.7424668893e-02
2.6586938943e-02,2.6586938649e-02
2.5748902506e-02,2.5748902466e-02
2.4910567041e-02,2.4910566863e-02
2.4071939587e-02,2.4071939290e-02
2.3233027189e-02,2.3233026732e-02
2.2393836898e-02,2.2393836640e-02
2.1554375771e-02,2.1554375533e-02
2.0714650870e-02,2.0714650862e-02
1.9874669263e-02,1.9874669146e-02
